marca,nombre,link,rank_marca
Mancera,Cherry Cherry,https://www.fragrantica.com/perfume/Mancera/Cherry-Cherry-96325.html,20
Mancera,Aoud Vanille,https://www.fragrantica.com/perfume/Mancera/Aoud-Vanille-32907.html,21
Mancera,Cinque Terre,https://www.fragrantica.com/perfume/Mancera/Cinque-Terre-97826.html,22
Mancera,Melody Of The Sun,https://www.fragrantica.com/perfume/Mancera/Melody-Of-The-Sun-72736.html,23
Mancera,Jardin Exclusif,https://www.fragrantica.com/perfume/Mancera/Jardin-Exclusif-51490.html,24
Mancera,Black Vanilla,https://www.fragrantica.com/perfume/Mancera/Black-Vanilla-46662.html,25
Valentino,Valentino Uomo Born In Roma Intense,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-In-Roma-Intense-78740.html,1
Valentino,Valentino Uomo Born In Roma Coral Fantasy,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-In-Roma-Coral-Fantasy-71761.html,2
Valentino,Valentino Donna Born In Roma,https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-In-Roma-55805.html,3
Valentino,Valentino Uomo Born in Roma,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-in-Roma-55963.html,4
Valentino,Born in Roma Extradose Donna,https://www.fragrantica.com/perfume/Valentino/Born-in-Roma-Extradose-Donna-101384.html,5
Valentino,Valentino Donna Born In Roma Intense,https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-In-Roma-Intense-78739.html,6
Valentino,Born in Roma Extradose Uomo,https://www.fragrantica.com/perfume/Valentino/Born-in-Roma-Extradose-Uomo-101383.html,7
Valentino,Valentino Donna Born in Roma Green Stravaganza,https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-in-Roma-Green-Stravaganza-88988.html,8
